AHST: HAST, HATS, SHAT, TASH
AHSW: HAWS, SHAW, SHWA, WASH
HIPS: HIPS, PHIS, PISH, SHIP
HSTU: HUTS, SHUT, THUS, TUSH
AIKT: IKAT, KATI, TAKI, TIKA
AIKL: ILKA, KAIL, KALI, LAIK
IMPS: IMPS, MIPS, SIMP, SPIM
IKNS: INKS, KINS, SINK, SKIN
IKRS: IRKS, KIRS, KRIS, RISK
AIKM: KAIM, KAMI, MAIK, MAKI
AKNR: KARN, KNAR, NARK, RANK
AKST: KATS, SKAT, TAKS, TASK
EKST: KEST, KETS, SEKT, SKET
IKST: KIST, KITS, SKIT, TIKS
AKOS: KOAS, OAKS, OKAS, SOAK
ELOV: LEVO, LOVE, OVEL, VOLE
ELSY: LEYS, LYES, LYSE, SLEY
ILNO: LINO, LION, LOIN, NOIL
AILP: LIPA, PAIL, PIAL, PILA
ELOS: LOSE, OLES, SLOE, SOLE
LOSW: LOWS, OWLS, SLOW, SOWL
EILW: LWEI, WEIL, WIEL, WILE
AMNO: MANO, MOAN, MONA, NOMA
EEMT: MEET, METE, TEEM, TEME
MOSU: MOUS, MUSO, SOUM, SUMO
AENP: NAPE, NEAP, PANE, PEAN
ANPS: NAPS, PANS, SNAP, SPAN
AINP: NIPA, PAIN, PIAN, PINA
INPS: NIPS, PINS, SNIP, SPIN
ENOP: NOPE, OPEN, PEON, PONE
AORS: OARS, OSAR, SOAR, SORA
ILOS: OILS, SILO, SOIL, SOLI
EORW: OWER, OWRE, WERO, WORE
APRS: PARS, RAPS, RASP, SPAR
AEPT: PATE, PEAT, TAPE, TEPA
APSY: PAYS, PYAS, SPAY, YAPS
EIPS: PIES, PISE, SIPE, SPIE
OPRY: PORY, PYRO, ROPY, YORP
OPSW: POWS, SOWP, SWOP, WOPS
AORT: RATO, ROTA, TARO, TORA
EIRT: RITE, TIER, TIRE, TRIE
ORTY: RYOT, TORY, TROY, TYRO
ESTT: SETT, STET, TEST, TETS
ESTY: STEY, STYE, TYES, YEST
ESWY: SWEY, WEYS, WYES, YEWS
ERTY: TREY, TRYE, TYER, TYRE
ABDE: ABED, BADE, BEAD
ABIR: ABRI, RABI, RIBA
ACDI: ACID, CADI, CAID
ACEM: ACME, CAME, MACE
ACEN: ACNE, ANCE, CANE
ACLY: ACYL, CLAY, LACY
ADRY: ADRY, DRAY, YARD
AFOR: AFRO, FARO, FORA
AAGS: AGAS, SAAG, SAGA
AEGS: AGES, GAES, SAGE
AGIN: AGIN, GAIN, NGAI
AEHM: AHEM, HAEM, HAME
AINR: AIRN, RAIN, RANI
ADEK: AKED, KADE, KAED
AELW: ALEW, WALE, WEAL
AFIL: ALIF, FAIL, FILA
ADLO: ALOD, LOAD, ODAL
ALOT: ALTO, LOTA, TOLA
ALMU: ALUM, LUMA, MAUL
ALMY: AMYL, LYAM, MYAL
AILN: ANIL, LAIN, NAIL
AHKN: ANKH, HANK, KHAN
ANNO: ANNO, ANON, NONA
ABRS: ARBS, BARS, BRAS
ACHR: ARCH, CHAR, RACH
ACRS: ARCS, CARS, SCAR
ADRS: ARDS, RADS, SARD
AERW: AREW, WARE, WEAR
AFRS: ARFS, FARS, FRAS
AKRS: ARKS, KSAR, SARK
AMRS: ARMS, MARS, RAMS
ARSY: ARSY, RAYS, RYAS
AMRU: ARUM, MURA, UMRA
ALRY: ARYL, LYRA, RYAL
ANTU: AUNT, TUAN, TUNA
ADEW: AWED, DEAW, WADE
AESW: AWES, WAES, WASE
AKSW: AWKS, KAWS, SKAW
ALSW: AWLS, LAWS, SLAW
ANWY: AWNY, WANY, YAWN
ABCS: BACS, CABS, SCAB
ABHT: BAHT, BATH, BHAT
ABLM: BALM, BLAM, LAMB
ABEN: BANE, BEAN, NABE
ABNS: BANS, NABS, SNAB
ABER: BARE, BEAR, BRAE
ABDU: BAUD, BUDA, DAUB
ABRW: BAWR, BRAW, WARB
ABEM: BEAM, BEMA, MABE
BEER: BEER, BERE, BREE
BENS: BENS, NEBS, SNEB
BEIR: BIER, BREI, BRIE
BINS: BINS, NIBS, SNIB
BIOS: BIOS, BOIS, OBIS
BGOY: BOGY, BOYG, GOBY
BHOO: BOHO, BOOH, HOBO
BHOS: BOHS, BOSH, HOBS
BKOO: BOKO, BOOK, KOBO
BKOS: BOKS, BOSK, KOBS
BDOR: BORD, BROD, DORB
BOSY: BOYS, SYBO, YOBS
ABGR: BRAG, GARB, GRAB
BNSU: BUNS, NUBS, SNUB
ACMS: CAMS, MACS, SCAM
ACNR: CARN, CRAN, NARC
CEIL: CEIL, CIEL, LICE
CEPS: CEPS, PECS, SPEC
CHIS: CHIS, ICHS, SICH
CHIT: CHIT, ITCH, TICH
CIST: CIST, CITS, TICS
CEIT: CITE, ETIC, TICE
CIOT: CITO, COIT, OTIC
CFIO: COIF, FICO, FOCI
CORS: CORS, ORCS, ROCS
CEOS: COSE, ECOS, SECO
CERU: CRUE, CURE, ECRU
CPSU: CUPS, CUSP, SCUP
ADIL: DALI, DIAL, LAID
ADEM: DAME, MADE, MEAD
ADGR: DARG, DRAG, GRAD
ADNR: DARN, NARD, RAND
ADRT: DART, DRAT, TRAD
ADET: DATE, TAED, TEAD
ADOT: DATO, DOAT, TOAD
ADRU: DAUR, DUAR, DURA
ADSW: DAWS, SWAD, WADS
DEEK: DEEK, DEKE, EKED
DEEM: DEEM, DEME, MEED
DEEN: DEEN, DENE, NEED
DEMO: DEMO, DOME, MODE
DENY: DENY, DYNE, NYED
DENR: DERN, NERD, REND
DESY: DEYS, DYES, SYED
ADIK: DIKA, KADI, KAID
DINS: DINS, NIDS, SIND
DEIR: DIRE, IRED, RIDE
DIKS: DISK, KIDS, SKID
DEIV: DIVE, VIDE, VIED
DENO: DOEN, DONE, NODE
DEOS: DOES, DOSE, ODES
DNOS: DONS, NODS, SNOD
DOPS: DOPS, PODS, SPOD
DOPR: DORP, DROP, PROD
DOSS: DOSS, DSOS, SODS
DOST: DOST, DOTS, TODS
DNOU: DOUN, UDON, UNDO
ADPR: DRAP, PARD, PRAD
DERY: DREY, DYER, YERD
DENU: DUNE, NUDE, UNDE
DOSU: DUOS, OUDS, UDOS
DPSU: DUPS, PUDS, SPUD
DNRU: DURN, NURD, RUND
